zip_code,latitude,longitude,city,state,county
501,40.922326,-72.637078,Holtsville,NY,Suffolk
544,40.922326,-72.637078,Holtsville,NY,Suffolk
601,18.165273,-66.722583,Adjuntas,PR,Adjuntas
602,18.393103,-67.180953,Aguada,PR,Aguada
603,18.455913,-67.14578,Aguadilla,PR,Aguadilla
604,18.49352,-67.135883,Aguadilla,PR,Aguadilla
605,18.465162,-67.141486,Aguadilla,PR,Aguadilla
606,18.172947,-66.944111,Maricao,PR,Maricao
610,18.288685,-67.139696,Anasco,PR,Anasco
611,18.279531,-66.80217,Angeles,PR,Utuado
612,18.450674,-66.698262,Arecibo,PR,Arecibo
613,18.458093,-66.732732,Arecibo,PR,Arecibo
614,18.429675,-66.674506,Arecibo,PR,Arecibo
616,18.444792,-66.640678,Bajadero,PR,Arecibo
617,18.447092,-66.544255,Barceloneta,PR,Barceloneta
622,17.998531,-67.187318,Boqueron,PR,Cabo Rojo
623,18.062201,-67.149541,Cabo Rojo,PR,Cabo Rojo
624,18.023535,-66.726156,Penuelas,PR,Penuelas
627,18.477891,-66.85477,Camuy,PR,Camuy
631,18.269187,-66.864993,Castaner,PR,Lares
636,18.113284,-67.039706,Rosario,PR,San German
637,18.087322,-66.934911,Sabana Grande,PR,Sabana Grande
638,18.33616,-66.472087,Ciales,PR,Ciales
641,18.250027,-66.698957,Utuado,PR,Utuado
